rank,x_um,y_um,z_um,peak_kcps,local_bg_kcps,excess_kcps,residual_kcps,ix,iy,iz
1,114.375,117.75,116.0,38.2,4.2,34.0,33.0,3,62,1
2,117.25,118.625,116.0,31.0,3.8,27.2,24.6,26,69,1
3,115.5,117.25,116.0,28.999999999999996,4.2,24.799999999999997,23.799999999999997,12,58,1
4,115.5,113.5,115.0,27.400000000000002,4.0,23.400000000000002,19.800000000000004,12,28,0
5,121.25,117.875,116.0,27.0,3.5999999999999996,23.4,22.6,58,63,1
6,115.25,110.875,115.0,27.0,4.0,23.0,22.0,10,7,0
7,118.125,114.0,116.0,26.200000000000003,3.8,22.400000000000002,21.6,33,32,1
8,122.625,110.375,116.0,26.200000000000003,4.0,22.200000000000003,21.200000000000003,69,3,1
9,118.875,112.25,115.0,26.200000000000003,4.0,22.200000000000003,20.800000000000004,39,18,0
10,117.125,111.0,116.0,25.6,4.0,21.6,21.400000000000002,25,8,1
11,122.375,115.875,116.0,25.6,4.3999999999999995,21.200000000000003,20.400000000000002,67,47,1
12,114.75,115.375,116.0,25.2,4.0,21.2,20.0,6,43,1
13,117.875,118.25,115.0,24.8,3.8,21.0,19.0,31,66,0
14,118.125,110.625,116.0,24.4,4.0,20.4,19.599999999999998,33,5,1
15,116.125,114.625,116.0,24.4,4.0,20.4,20.2,17,37,1
