rank,x_um,y_um,z_um,peak_kcps,local_bg_kcps,excess_kcps,ix,iy,iz
1,114.33333333333333,117.33333333333333,116.0,40.0,4.8,35.2,2,44,1
2,115.83333333333333,118.16666666666667,116.5,36.0,4.0,32.0,11,49,2
3,117.16666666666667,118.16666666666667,116.0,36.0,4.0,32.0,19,49,1
4,117.16666666666667,110.5,115.5,32.6,3.5,29.1,19,3,0
5,122.5,115.5,116.0,28.599999999999998,5.0,23.599999999999998,51,33,1
6,122.83333333333333,118.16666666666667,115.5,26.200000000000003,3.4000000000000004,22.800000000000004,53,49,0
7,119.33333333333333,113.16666666666667,116.5,26.8,4.0,22.8,32,19,2
8,121.33333333333333,114.5,116.5,26.8,4.2,22.6,44,27,2
9,114.66666666666667,114.83333333333333,115.5,26.6,4.2,22.400000000000002,4,29,0
10,119.16666666666667,114.33333333333333,116.0,25.8,3.9,21.900000000000002,31,26,1
11,116.83333333333333,112.83333333333333,116.0,25.4,3.8,21.599999999999998,17,17,1
12,120.33333333333333,111.5,115.5,24.8,3.8,21.0,38,9,0
13,118.33333333333333,117.5,116.5,25.2,4.3,20.9,26,45,2
14,118.0,113.5,115.5,24.6,3.8,20.8,24,21,0
15,119.33333333333333,118.33333333333333,116.5,24.0,3.5999999999999996,20.4,32,50,2
16,121.33333333333333,117.33333333333333,115.5,23.599999999999998,3.5999999999999996,20.0,44,44,0
17,119.16666666666667,111.83333333333333,116.5,24.6,4.9,19.700000000000003,31,11,2
18,120.16666666666667,113.33333333333333,116.0,23.400000000000002,4.1,19.300000000000004,37,20,1
19,123.0,114.5,116.5,22.8,4.0,18.8,54,27,2
20,115.5,116.83333333333333,115.5,23.200000000000003,4.6,18.6,9,41,0
