rank,candidate_id,x_um,y_um,z_um,ix,iy,iz,peak_kcps,projection_peak_kcps,dog_score,annulus_median_kcps,annulus_std_kcps,local_snr_estimate
1,image231924_c01,113.0,113.625,115.0,8,29,1,31.0,31.0,18.354701724001696,4.3999999999999995,1.3506784669801173,19.693806209688955
2,image231924_c02,113.25,117.375,115.0,10,59,1,32.2,32.2,16.526220595776195,5.0,3.923129653722491,6.93324014088034
3,image231924_c03,115.25,110.0,115.0,26,0,1,27.400000000000002,27.400000000000002,14.600807670610637,4.8,1.5285712863699858,14.785048094737462
4,image231924_c04,114.375,117.125,115.0,19,57,1,25.0,25.0,13.862796979874018,5.0,4.440079071278929,4.504424284888858
5,image231924_c05,115.625,112.25,115.0,29,18,1,26.200000000000003,26.200000000000003,12.601684951351267,4.8,2.5813083825185963,8.290369386562615
6,image231924_c06,115.5,116.625,115.0,28,53,1,24.6,24.6,12.299070053286972,4.8,3.032015154134482,6.530310366843068
7,image231924_c07,117.0,115.5,115.0,40,44,1,25.0,25.0,11.17341502636395,4.6,2.6446296672697147,7.7137454233230995
8,image231924_c08,118.375,120.0,115.0,51,80,1,18.8,18.8,11.074590733095864,4.699999999999999,4.293986162036775,3.2836621881492642
9,image231924_c09,114.75,114.625,115.0,22,37,1,22.6,22.6,10.983053340206808,4.6,1.6481501549927742,10.921335009768924
10,image231924_c10,116.125,114.0,115.0,33,32,1,24.0,24.0,10.417805411048148,4.6,2.8136245006014957,6.895020991236624
11,image231924_c11,114.0,118.375,115.0,16,67,1,23.200000000000003,23.200000000000003,10.409065803828131,4.3999999999999995,3.861094936711835,4.8690851437963545
12,image231924_c12,113.875,116.375,114.0,15,51,0,22.2,22.2,10.268946549967023,5.4,4.787416029263893,3.5091999303586623
13,image231924_c13,114.375,113.375,115.0,19,27,1,18.8,18.8,10.220795904296326,4.699999999999999,2.733483058406094,5.158254027395919
14,image231924_c14,119.125,119.875,115.0,57,79,1,23.200000000000003,23.200000000000003,10.1799071392059,4.3999999999999995,3.782428762969473,4.970351372928523
15,image231924_c15,113.75,110.25,115.0,14,2,1,22.6,22.6,10.10761154022746,4.6,1.027107264765143,17.524946614598147
16,image231924_c16,118.875,111.625,114.0,55,13,0,19.2,19.2,9.97850539599979,4.6,0.9241664551565528,15.798019829370192
17,image231924_c17,120.0,110.5,115.0,64,4,1,21.6,21.6,9.937209496490777,4.8,2.3904183626192106,7.028058458588804
18,image231924_c18,118.0,113.375,115.0,48,27,1,19.400000000000002,19.400000000000002,9.797799706836788,4.3999999999999995,0.8827812920386121,16.991751092015853
19,image231924_c19,121.5,118.75,115.0,76,70,1,23.599999999999998,23.599999999999998,9.749898326979775,4.3999999999999995,1.4133728013584508,13.584526296219625
20,image231924_c20,116.625,114.5,114.0,37,36,0,18.2,18.2,9.62001264535608,4.6,3.2131327648281314,4.232629334410595
21,image231924_c21,116.75,118.25,114.0,38,66,0,17.8,17.8,9.533718440163993,4.6,2.351645537186725,5.613090827530955
22,image231924_c22,117.875,117.5,115.0,47,60,1,20.200000000000003,20.200000000000003,9.482055128167547,4.3999999999999995,2.291069704356138,6.896341897875147
23,image231924_c23,113.0,115.875,115.0,8,47,1,21.2,21.2,8.999405954632348,4.8,2.8400114179659495,5.774624668928709
24,image231924_c24,115.375,112.875,115.0,27,23,1,19.400000000000002,19.400000000000002,8.668628379392025,5.0,3.529322318090824,4.0801034017515105
25,image231924_c25,120.375,111.375,115.0,67,11,1,19.0,19.0,8.590774940814564,4.8,2.477540634632236,5.731490251168512
26,image231924_c26,121.25,117.25,115.0,74,58,1,16.6,16.6,8.05395144432363,4.2,1.0171183339294498,12.191305155127402
27,image231924_c27,117.25,110.375,115.0,42,3,1,14.399999999999999,14.399999999999999,8.001197372782485,4.3999999999999995,1.4089881744213464,7.0972916412230225
28,image231924_c28,112.125,118.375,114.0,1,67,0,15.0,15.0,7.768925212084332,5.0,1.4428118804781793,6.930910486927007
29,image231924_c29,112.0,120.0,115.0,0,80,1,14.6,14.6,7.151536283070976,4.8,0.9486650609798359,10.330305597581185
30,image231924_c30,119.75,114.25,115.0,62,34,1,14.799999999999999,14.799999999999999,6.8362399891164864,4.6,1.2103009145870114,8.42765618751339
31,image231924_c31,113.375,111.875,115.0,11,15,1,15.8,15.8,5.965437635877602,4.3999999999999995,0.9527218115253201,11.965717432020094
